u,v,length_m,speed_kmh,rank,has_traffic_light,light_delay_s,counter_zone
82643898,82643724,137.68,36.18279569892473,residential,False,19,256619924
82643954,82643898,38.57,36.18279569892473,residential,False,13,256619924
82643954,82643955,53.69,36.18279569892473,residential,False,11,256619924
82643954,8174730333,108.09,36.18279569892473,residential,False,17,256619924
82643955,82643954,53.69,36.18279569892473,residential,False,23,256619924
82643955,302338341,40.28,36.18279569892473,residential,False,30,256619924
82643955,12888837750,154.49,36.18279569892473,residential,False,35,256619924
82644698,82644699,35.27,40.0,residential,False,29,256619924
82644698,254313932,129.8,40.0,residential,False,24,256619924
82644698,302335424,150.44,36.18279569892473,residential,False,12,256619924
82644699,4680630090,113.37,40.0,residential,False,13,256619924
82644699,82644698,35.27,40.0,residential,False,25,256619924
82644699,3104020105,61.57,36.18279569892473,residential,False,29,256619924
82645213,82643739,23.46,36.18279569892473,residential,False,27,256619924
82645213,82643738,10.57,51.36889705201475,tertiary_link,False,10,256619924
82645214,82645213,32.88,36.18279569892473,residential,False,30,256619924
82645214,320978530,38.08,36.18279569892473,residential,False,26,256619924
82645957,320977904,216.1,36.18279569892473,residential,False,28,256619924
82645957,82645959,129.72,44.02390438247012,tertiary,False,17,256619924
82645957,256619907,103.87,44.02390438247012,tertiary,False,32,256619924
82645959,82645960,26.57,36.18279569892473,residential,False,14,256619924
82645959,82645957,129.72,44.02390438247012,tertiary,False,19,256619924
82645959,82646185,285.03,44.02390438247012,tertiary,False,23,256619924
82645960,82645959,26.57,36.18279569892473,residential,False,10,256619924
82645960,82658261,451.86,36.18279569892473,residential,False,29,256619924
82645960,82658896,104.07,36.18279569892473,residential,False,21,256619924
82646185,82645959,285.03,44.02390438247012,tertiary,False,17,256619924
82646185,254318577,27.6,44.02390438247012,tertiary,False,28,256619924
82646185,256619961,242.02,36.18279569892473,residential,False,23,256619924
82650400,89026299,74.05,44.02390438247012,tertiary,False,15,256619924
82650400,89056918,115.88,44.02390438247012,tertiary,False,31,256619924
82650686,6222698235,34.63,44.02390438247012,tertiary,False,31,82703794
82650686,89025571,113.27,36.18279569892473,residential,False,12,82703794
82650686,968604723,46.42,36.18279569892473,residential,False,26,82703794
82650691,82702975,95.44,30.0,tertiary,False,21,82703794
82650691,4576114929,59.24,30.0,tertiary,True,12,82703794
82650691,82703789,261.66,30.0,tertiary,False,26,82703794
82651436,89050657,93.68,44.02390438247012,tertiary,False,27,82703794
82651436,89051355,114.53,36.18279569892473,residential,False,26,82703794
82651439,89055407,80.49,44.02390438247012,tertiary,False,35,82703794
82651439,82703219,64.8,36.18279569892473,residential,False,26,82703794
82651440,82651439,125.86,44.02390438247012,tertiary,False,27,320981769
82651440,254348821,92.68,54.67289719626168,primary,False,10,320981769
82651515,89050898,5.52,44.02390438247012,tertiary,False,22,82703794
82651515,82641908,79.51,36.18279569892473,residential,False,25,82703794
82653324,82641908,216.37,36.18279569892473,residential,False,11,320981769
82653324,82653327,91.71,36.18279569892473,residential,False,30,320981769
82653324,471413278,125.11,36.18279569892473,residential,False,22,320981769
82653327,82641159,53.08,36.18279569892473,residential,False,21,320981769
82653327,82653324,91.71,36.18279569892473,residential,False,18,320981769
82653327,471412801,54.61,36.18279569892473,residential,False,33,320981769
82653886,82653887,35.82,36.18279569892473,residential,False,10,320981769
