node_id,x,y,is_counter,has_traffic_light
82702977,18.43,43.86,False,False
82703219,18.43,43.86,False,False
82703379,18.43,43.86,False,False
82703568,18.42,43.86,False,False
82703789,18.42,43.86,False,False
82703794,18.42,43.86,True,False
82704054,18.42,43.86,False,False
82704187,18.42,43.86,False,False
82705003,18.41,43.86,False,False
82705069,18.41,43.85,False,False
82705514,18.4,43.86,False,False
82705515,18.4,43.85,False,False
82706074,18.42,43.86,False,False
82706246,18.44,43.86,False,False
82896542,18.39,43.86,False,True
82898903,18.38,43.85,False,False
82898904,18.38,43.85,False,False
82900294,18.38,43.85,False,False
82900653,18.38,43.85,False,False
82901413,18.4,43.85,False,True
82903085,18.4,43.85,False,False
82903274,18.4,43.85,True,False
82903741,18.4,43.85,False,False
82905447,18.43,43.86,False,False
82908411,18.43,43.87,False,False
82908420,18.43,43.87,False,False
82908423,18.43,43.87,False,False
82908424,18.43,43.87,False,False
82908445,18.44,43.87,False,False
82908447,18.44,43.87,False,False
82908462,18.44,43.87,False,False
82911031,18.44,43.87,False,False
82911039,18.44,43.87,False,False
82911041,18.44,43.87,False,False
82911049,18.45,43.86,False,False
82911064,18.45,43.87,False,False
82911076,18.45,43.86,False,False
82911080,18.45,43.86,False,False
82911083,18.45,43.86,False,False
83549422,18.33,43.83,False,False
83549424,18.33,43.84,False,False
83549426,18.33,43.84,False,False
83549427,18.33,43.84,False,False
83549433,18.34,43.84,False,True
83709642,18.34,43.84,False,False
83710070,18.34,43.84,False,False
83710071,18.34,43.84,False,True
83710074,18.34,43.84,False,True
83710075,18.34,43.84,False,False
83710800,18.34,43.84,False,False
83711313,18.34,43.84,False,True
83711809,18.34,43.84,False,False
83711812,18.34,43.84,False,False
83712882,18.35,43.84,False,False
83713911,18.35,43.84,False,False
83714213,18.35,43.84,False,True
83714214,18.35,43.84,False,False
83715356,18.35,43.84,False,False
83715357,18.35,43.84,False,False
83717378,18.34,43.84,False,True
83717566,18.35,43.84,False,True
83717567,18.35,43.84,False,True
83717570,18.35,43.84,False,False
83717571,18.36,43.84,False,False
83718078,18.36,43.85,False,False
83718241,18.35,43.84,False,False
83719505,18.38,43.85,False,True
83719739,18.38,43.85,False,False
83720533,18.37,43.85,False,False
83720534,18.37,43.85,False,False
83720668,18.38,43.85,False,False
83723171,18.36,43.84,False,False
83723172,18.36,43.84,False,False
83723692,18.36,43.84,False,False
83723935,18.36,43.84,False,False
83724443,18.36,43.84,False,False
83728496,18.36,43.84,False,False
83729262,18.36,43.84,False,False
83729540,18.36,43.84,False,False
83729543,18.36,43.84,False,False
83729545,18.36,43.84,False,False
83729546,18.36,43.84,False,False
83729547,18.36,43.84,False,False
83729727,18.36,43.84,False,False
83730212,18.36,43.84,False,False
83730856,18.37,43.84,False,False
